_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,please_classify_the_sample,dataset,incoherent_sentences_arg2_diff_sensetxt,plant_genetics_success_in_creating_genetically_engineered_male_steriles_doesnt_automatically_mean_it_would_be_simple_to_create_hybrids_in_all_crops_thats_because_22_workers_were_missing_and_presumed_dead,please_classify_the_sample_gold,sample
1445998631,11/21/2017 01:20:56,false,3061035228,,11/21/2017 01:18:47,false,elite,1,43667456,COL,2,Medellín,201.233.96.41,coherent,incoherent_sentences_arg2_diff_sense.txt,,,,"but even his replacement, the more personally genial spanish biochemist federico mayor, has had little success at achieving reforms as a result the reserves dropped for the first time in recent years, to $14 billion in june from $19 billion in april
"
1445998631,11/21/2017 01:22:24,false,3061039890,,11/21/2017 01:19:06,false,neodev,1,43902887,VEN,25,Caracas,190.123.191.139,incoherent,incoherent_sentences_arg2_diff_sense.txt,,,,"but even his replacement, the more personally genial spanish biochemist federico mayor, has had little success at achieving reforms as a result the reserves dropped for the first time in recent years, to $14 billion in june from $19 billion in april
"
1445998631,11/21/2017 01:25:39,false,3061050454,,11/21/2017 01:18:55,false,elite,1,43125727,BRA,8,Vitoria,177.17.83.202,incoherent,incoherent_sentences_arg2_diff_sense.txt,,,,"but even his replacement, the more personally genial spanish biochemist federico mayor, has had little success at achieving reforms as a result the reserves dropped for the first time in recent years, to $14 billion in june from $19 billion in april
"
1445998631,11/21/2017 01:51:05,false,3061132634,,11/21/2017 01:48:56,false,elite,1,43855651,PHL,13,Binakod,175.158.208.132,coherent,incoherent_sentences_arg2_diff_sense.txt,,,,"but even his replacement, the more personally genial spanish biochemist federico mayor, has had little success at achieving reforms as a result the reserves dropped for the first time in recent years, to $14 billion in june from $19 billion in april
"
1445998632,11/21/2017 01:23:03,false,3061041985,,11/21/2017 01:19:16,false,clixsense,1,40360329,VEN,23,Maracaibo,190.207.15.141,incoherent,incoherent_sentences_arg2_diff_sense.txt,,,,"west germany is contributing to imbalances in the world economy because of its success as an exporter consequently his study showed that junk bonds over time had a cumulative default rate of 34%
"
1445998632,11/21/2017 01:24:15,false,3061045848,,11/21/2017 01:19:17,false,clixsense,1,41825385,VEN,7,Valencia,200.8.86.180,coherent,incoherent_sentences_arg2_diff_sense.txt,,,,"west germany is contributing to imbalances in the world economy because of its success as an exporter consequently his study showed that junk bonds over time had a cumulative default rate of 34%
"
1445998632,11/21/2017 01:28:03,false,3061057755,,11/21/2017 01:27:31,false,neodev,1,43816676,VEN,4,La Victoria,190.142.126.129,coherent,incoherent_sentences_arg2_diff_sense.txt,,,,"west germany is contributing to imbalances in the world economy because of its success as an exporter consequently his study showed that junk bonds over time had a cumulative default rate of 34%
"
1445998632,11/21/2017 01:30:29,false,3061065295,,11/21/2017 01:19:15,false,clixsense,1,39091022,VEN,15,Los Teques,181.208.40.172,coherent,incoherent_sentences_arg2_diff_sense.txt,,,,"west germany is contributing to imbalances in the world economy because of its success as an exporter consequently his study showed that junk bonds over time had a cumulative default rate of 34%
"
1445998633,11/21/2017 01:20:32,false,3061034189,,11/21/2017 01:18:14,false,neodev,1,42028610,VEN,20,San Cristóbal,201.243.140.158,coherent,incoherent_sentences_arg2_diff_sense.txt,,,,"houston lighting's current situation has some positive aspects, including managing ""very well"" the construction and commercial operation risks of units 1 and 2 of the south texas project nuclear power plant in addition franklin is a closed-end management investment company
"
1445998633,11/21/2017 01:21:25,false,3061036797,,11/21/2017 01:18:01,false,neodev,1,32878697,VEN,,,186.95.37.89,coherent,incoherent_sentences_arg2_diff_sense.txt,,,,"houston lighting's current situation has some positive aspects, including managing ""very well"" the construction and commercial operation risks of units 1 and 2 of the south texas project nuclear power plant in addition franklin is a closed-end management investment company
"
1445998633,11/21/2017 01:50:37,false,3061131027,,11/21/2017 01:49:28,false,neodev,1,42916569,VEN,,,190.78.4.79,coherent,incoherent_sentences_arg2_diff_sense.txt,,,,"houston lighting's current situation has some positive aspects, including managing ""very well"" the construction and commercial operation risks of units 1 and 2 of the south texas project nuclear power plant in addition franklin is a closed-end management investment company
"
